,AvailableSupply,BTCPrice,CMCname,Change1h,Change24h,Change7d,MaxSupply,Mcap,Symbol,TotalSupply,USDPrice,Vol24h,bctpages,lastentry,Algo,Network,Exchange,Exchange,Exchange,Exchange
naga,57672338.0,0.00021063,naga,0.86,3.27,43.0,,173512996.0,NGC,77910266.0,3.0086,3188270.0,61,"January 12, 2018, 09:51:30 PM",,,,,,
namecoin,14736400.0,0.00046943,namecoin,2.2,30.93,37.88,,98809625.0,NMC,14736400.0,6.70514,2313660.0,0,0,SHA256,POW,Cryptopia,,,
namocoin,,0.00000001,namocoin,-0.11,-47.16,-91.21,1200000000.0,,NAMO,560211620.0,0.000142994,133.861,6,"January 11, 2018, 06:55:28 AM",Nist5,Hybrid,Cryptopia,,,
natcoin,,0.00000272,natcoin,-0.16,-59.39,-38.24,,,NTC,35000000.0,0.0388944,730.841,3,"January 11, 2018, 03:32:32 AM",,,,,,
nav-coin,62290567.0,0.00033378,nav-coin,2.33,21.13,43.5,,297389492.0,NAV,62290567.0,4.77423,24829500.0,1214,"January 12, 2018, 02:04:39 PM",X13,POS,Cryptopia,,Binance,Bittrex
neblio,12717018.0,0.00261674,neblio,1.53,26.03,330.41,,475985251.0,NEBL,13458710.0,37.429,34964700.0,91,"January 12, 2018, 09:33:10 PM",POS,POS,Cryptopia,Kucoin,Binance,
nebulas-token,35500000.0,0.00091097,nebulas-token,1.08,7.07,92.48,100000000.0,462572100.0,NAS,100000000.0,13.0302,35110900.0,0,0,,,,,,
nekonium,8988522.0,0.00002502,nekonium,2.3,3.76,-12.98,,3226888.0,NUKO,18594251.0,0.359001,10366.1,24,"January 11, 2018, 04:11:55 PM",,,,,,
nem,8999999999.0,0.00010473,nem,2.32,15.22,-5.7,,13481819999.0,XEM,8999999999.0,1.49798,68496000.0,1760,<b>Today</b> at 02:31:03 AM,Other,DPOS,Cryptopia,,,Bittrex
neo,65000000.0,0.00891131,neo,2.28,17.14,34.83,,8285160000.0,NEO,100000000.0,127.464,242797000.0,140,"January 12, 2018, 10:02:28 PM",Scrypt,POW,Cryptopia,Kucoin,Binance,Bittrex
neo-gold,,0.00000234,neo-gold,-4.47,152.54,193.06,,,NEOG,75000000.0,0.0334363,224323.0,31,<b>Today</b> at 12:22:16 AM,,,,,,
neoscoin,3651921.0,0.00099553,neoscoin,2.02,10.9,13.26,,51897443.0,NEOS,3651921.0,14.211,687909.0,52,"January 11, 2018, 02:29:16 AM",,,,,,Bittrex
netbit,,0.00000165,netbit,-15.53,-12.57,19.77,,,NBIT,,0.0235805,1583.06,8,"January 12, 2018, 11:08:18 AM",,,,,,
netcoin,787126712.0,0.00000057,netcoin,5.46,48.22,87.58,,6434722.0,NET,787126712.0,0.00817495,76849.9,60,"January 11, 2018, 04:50:39 AM",,,,,,
netko,4592040.0,0.00004467,netko,1.73,-3.73,43.64,,2943227.0,NETKO,4592040.0,0.640941,28095.5,48,"January 11, 2018, 05:45:40 AM",Blake2s,Hybrid,Cryptopia,,,
network-token,11671310.0,0.00000616,network-token,0.53,8.87,16.37,,1028087.0,NTWK,50000000.0,0.0880867,5304.23,0,0,,,,,,
neumark,28662055.0,0.00011671,neumark,1.96,-7.72,4.42,1500000000.0,47750984.0,NEU,53041455.0,1.666,932926.0,11,"January 10, 2018, 04:25:54 PM",,,,,,
neuro,43328299.0,0.00000072,neuro,-17.18,5.81,47.96,,446156.0,NRO,45328299.0,0.0102971,5604.06,17,"January 09, 2018, 12:07:15 PM",,,,,,
neutron,33299890.0,0.00005400,neutron,6.24,6.66,57.6,68000000.0,25702420.0,NTRN,33299890.0,0.771847,124947.0,62,"January 12, 2018, 06:45:51 PM",POS,POS,Cryptopia,,,
nevacoin,2534340.0,0.00001291,nevacoin,0.21,8.15,123.67,,467322.0,NEVA,2534340.0,0.184396,2393.42,58,"January 12, 2018, 04:33:25 AM",Blake2s,Hybrid,Cryptopia,,,
neverdie,41004200.0,0.00001077,neverdie,1.53,13.73,58.2,,6332771.0,NDC,400000000.0,0.154442,7612.95,0,0,,,,,,
newbium,50000000.0,0.00000053,newbium,-0.16,-39.38,-72.38,,374808.0,NEWB,100000000.0,0.00749615,494.533,105,"January 12, 2018, 02:55:08 AM",,,,,,
newyorkcoin,132185463284,0.00000003,newyorkcoin,1.65,9.51,148.7,,52976365.0,NYC,132185463284,0.000400773,483803.0,120,<b>Today</b> at 01:54:35 AM,,,,,,
nexium,66521576.0,0.00005025,nexium,2.32,28.33,-1.01,,47712068.0,NXC,66521576.0,0.717242,2268110.0,155,"January 12, 2018, 08:03:18 PM",,,,,,Bittrex
nexus,54972793.0,0.0006513,nexus,0.87,11.4,-26.28,,512127641.0,NXS,54972793.0,9.31602,2608290.0,353,<b>Today</b> at 01:56:01 AM,SHA3,Hybrid,Cryptopia,,,Bittrex
nimfamoney,,0.00042277,nimfamoney,4.5,16.26,,,,NIMFA,1542580.0,6.04419,17058.8,30,"January 11, 2018, 02:08:12 PM",,,,,,
nimiq,10500000.0,0.00042626,nimiq,0.52,10.48,8.62,,63889980.0,NET,10500000.0,6.08476,455740.0,62,"January 12, 2018, 05:16:19 PM",Scrypt,Hybrid,Cryptopia,,,
noblecoin,2320128353.0,0.00000048,noblecoin,2.05,0.51,128.06,,15922855.0,NOBL,2320128353.0,0.00686292,293873.0,604,<b>Today</b> at 02:50:47 AM,Scrypt,Hybrid,Cryptopia,,,
nodecoin,1678439.0,0.00000122,nodecoin,0.16,11.75,153.72,,29276.0,NODC,5878439.0,0.0174423,2154.91,5,"December 12, 2016, 08:15:56 AM",,,,,,
nolimitcoin,205089089.0,0.00002501,nolimitcoin,-1.24,11.59,-9.82,,73217010.0,NLC2,205089089.0,0.357001,536143.0,75,<b>Today</b> at 12:29:40 AM,SHA256,POS,Cryptopia,,,
novacoin,1953690.0,0.00057102,novacoin,1.38,14.14,5.6,,15950394.0,NVC,1953690.0,8.16424,375381.0,80,"January 11, 2018, 03:58:05 PM",Scrypt,Hybrid,Cryptopia,,,
nubits,11942815.0,0.00006970,nubits,0.23,-0.29,2.5,,11901648.0,USNBT,70351641.0,0.996553,6182030.0,0,0,POS,POS,Cryptopia,,,
nuls,23564882.0,0.00047481,nuls,2.41,2.47,49.71,,159816560.0,NULS,40000000.0,6.78198,14804000.0,0,0,,,,Kucoin,Binance,
numeraire,1296166.0,0.00302978,numeraire,-0.21,7.21,34.07,21000000.0,56058779.0,NMR,2296166.0,43.2497,1047620.0,0,0,,,,,,Bittrex
numus,,0.00190028,numus,-4.61,51.58,,,,NMS,,27.1585,986744.0,26,<b>Today</b> at 03:17:05 AM,,,,,,
numuscash,,0.00000012,numuscash,9.18,35.73,,,,NUMUS,,0.00171708,86246.0,0,0,,,,,,
nushares,2777600756.0,0.00000143,nushares,2.06,-1.34,-10.16,,56832211.0,NSR,3167207863.0,0.0204609,209036.0,0,0,POS,POS,Cryptopia,,,
nvo,15000000.0,0.00012148,nvo,3.95,-17.51,75.2,,26045250.0,NVST,15000000.0,1.73635,26607.9,126,<b>Today</b> at 01:47:19 AM,,,,,,
nxt,998999942.0,0.00003344,nxt,1.82,18.52,-7.83,1000000000.0,477815678.0,NXT,998999942.0,0.478294,39546100.0,519,"January 12, 2018, 01:31:19 PM",,,,,,Bittrex
nyancoin,318929301.0,0.00000064,nyancoin,4.35,16.35,94.61,337000000.0,2928753.0,NYAN,318929301.0,0.00918308,8125.08,83,"February 21, 2014, 12:55:50 AM",Scrypt,POW,Cryptopia,,,
oax,25009250.0,0.00012995,oax,3.43,10.05,2.43,,46391158.0,OAX,100000000.0,1.85496,2933370.0,92,"January 12, 2018, 05:15:00 PM",,,,,Binance,
obits,15674600.0,0.00010988,obits,2.2,-1.33,-25.56,,24616959.0,OBITS,15674600.0,1.5705,33028.2,0,0,,,,,,
obsidian,25000000.0,0.0001321,obsidian,-2.96,8.1,131.57,,47143250.0,ODN,92763926.0,1.88573,540407.0,67,"January 12, 2018, 11:11:13 PM",POS,POS,Cryptopia,,,
oceanlab,46500000.0,0.00000718,oceanlab,2.4,7.24,-4.95,,4786059.0,OCL,50000000.0,0.102926,16047.0,29,"January 10, 2018, 03:41:52 PM",,,,,,
ocow,,0.000000001,ocow,,,-0.8,,,OCOW,,0.0000166381,,21,"January 11, 2018, 12:08:57 PM",,,,,,
octanox,8500001.0,0.00002400,octanox,2.45,12.52,10.01,,2927111.0,OTX,8500001.0,0.344366,37959.0,5,"January 11, 2018, 08:23:41 AM",,,,,,
octocoin,51359615.0,0.00000163,octocoin,2.65,-4.15,118.94,,1193685.0,888,51359615.0,0.0232417,4786.91,11,"January 12, 2018, 04:00:45 PM",Scrypt,POW,Cryptopia,,,
okcash,73629342.0,0.00004064,okcash,1.83,11.12,-7.62,105000000.0,42715842.0,OK,73629342.0,0.580147,1477200.0,145,"January 11, 2018, 08:01:45 PM",POS,POS,Cryptopia,,,Bittrex
olympus-labs,,0.00013228,olympus-labs,-2.17,-15.03,53.63,,,MOT,100000000.0,1.89045,2919410.0,7,"January 09, 2018, 11:29:50 PM",,,,,,
omicron,,0.00001620,omicron,-0.11,-4.89,9.52,,,OMC,10140044.0,0.231651,6.98441,48,"November 15, 2017, 01:34:18 AM",,,,,,
omisego,102042552.0,0.00162881,omisego,1.98,8.71,24.59,,2377387371.0,OMG,140245398.0,23.298,85825000.0,0,0,None,Asset,Cryptopia,Kucoin,Binance,Bittrex
omni,560434.0,0.00644339,omni,-0.22,4.92,-0.78,,51547782.0,OMNI,616750.0,91.9784,892252.0,0,0,,,,,,Bittrex
ongsocial,13653055.0,0.00017778,ongsocial,2.82,52.31,457.17,,34648451.0,ONG,300000000.0,2.53778,137636.0,0,0,,,,,,
onix,27432814.0,0.00000369,onix,-2.16,2.89,17.88,,1447086.0,ONX,103181030.0,0.0527502,10952.0,57,"January 12, 2018, 07:13:16 AM",,,,,,
op-coin,,0.00000378,op-coin,-10.5,5.99,,,,OPC,125311499.0,0.0540879,115387.0,0,0,,,,,,
opal,15144709.0,0.00000931,opal,1.94,22.39,44.82,,2022667.0,OPAL,15144709.0,0.133556,143084.0,201,"January 12, 2018, 04:25:43 PM",Scrypt,POW,Cryptopia,,,
open-trading-network,3592379.0,0.00075047,open-trading-network,-0.9,6.13,21.54,100000000.0,38484800.0,OTN,82630002.0,10.7129,65337.4,39,"January 12, 2018, 12:48:19 PM",None,Asset,Cryptopia,,,
operand,,0.00000022,operand,-0.11,54.94,56.31,,,OP,36309296.0,0.00314587,547.122,4,"January 08, 2018, 09:43:51 AM",,,,,,
opescoin,,0.00000020,opescoin,-0.16,-11.97,6.61,,,OPES,,0.00285988,14.93,16,"December 22, 2017, 09:12:31 AM",,,,,,
opus,140080549.0,0.00000789,opus,-1.63,-9.34,44.18,249308531.0,15801226.0,OPT,249308531.0,0.112801,117051.0,79,"January 11, 2018, 11:20:59 PM",,,,,,
oraclechain,30000000.0,0.00007494,oraclechain,-0.41,10.38,14.67,,32094000.0,OCT,30000000.0,1.0698,296397.0,0,0,,,,,,
orbitcoin,3119443.0,0.00008542,orbitcoin,2.32,-1.93,91.74,,3821630.0,ORB,3119443.0,1.2251,38794.2,0,0,NeoScrypt,Hybrid,Cryptopia,,,
orlycoin,36646779.0,0.00000013,orlycoin,-0.2,16.67,-3.81,,67931.0,ORLY,36646779.0,0.00185368,18.4959,30,"October 08, 2017, 08:18:17 AM",,,,,,
ormeus-coin,17029321.0,0.00016915,ormeus-coin,3.98,25.18,18.81,,41118828.0,ORME,200000000.0,2.41459,2070870.0,4,"January 12, 2018, 07:39:55 PM",Ethash,POW,Cryptopia,,,
osmiumcoin,894026.0,0.00000394,osmiumcoin,-0.04,47.98,-10.22,,50342.0,OS76,894026.0,0.0563098,24.5935,21,"January 06, 2018, 07:02:57 PM",,,,,,
ox-fina,,0.00000018,ox-fina,-0.07,215.84,-54.04,501237838.0,,OX,501237839.0,0.0025629,7359.77,5,"January 12, 2018, 06:44:03 PM",None,Asset,Cryptopia,,,
oxycoin,85837966.0,0.00001765,oxycoin,0.83,8.07,-1.85,,21650996.0,OXY,105280290.0,0.252231,91076.3,80,<b>Today</b> at 01:28:44 AM,,,,,,
oyster-pearl,63266926.0,0.00021281,oyster-pearl,1.34,3.06,67.21,,192315639.0,PRL,108592692.0,3.03975,6629190.0,59,<b>Today</b> at 01:47:31 AM,None,Asset,Cryptopia,Kucoin,,
p7coin,35220238.0,0.00000006,p7coin,0.03,23.62,27.84,,30202.0,P7C,35220238.0,0.00085751,173.54,0,0,,,,,,
pabyosi-coin-special,,0.00000707,pabyosi-coin-special,2.57,31.2,-66.49,,,PCS,30993751760.0,0.101033,167.281,0,0,,,,,,
paccoin,2535239690220,0.000000009,paccoin,2.13,8.7,-38.68,,330174406.0,PAC,3440753140576,0.000130234,3057420.0,88,<b>Today</b> at 12:09:48 AM,SHA256,POS,Cryptopia,,,
pakcoin,46633750.0,0.00000355,pakcoin,10.44,2.65,161.8,182000000.0,2378130.0,PAK,46633750.0,0.0509959,25097.4,33,"January 11, 2018, 10:40:18 PM",Scrypt,POW,Cryptopia,,,
pandacoin-pnd,32514916898.0,0.00000016,pandacoin-pnd,2.89,24.58,89.95,,74687414.0,PND,32514916898.0,0.00229702,10270100.0,44,<b>Today</b> at 01:04:34 AM,POS,POS,Cryptopia,,,
paragon,64936636.0,0.00003629,paragon,1.46,5.47,-15.92,,33642437.0,PRG,164936636.0,0.518081,81931.0,162,"January 12, 2018, 11:32:49 AM",,,,,,
parallelcoin,313853.0,0.00021084,parallelcoin,-0.35,-3.85,138.98,,946363.0,DUO,313853.0,3.01531,1991.14,20,"January 12, 2018, 05:35:24 PM",Scrypt,POW,Cryptopia,,,
parkbyte,4764026.0,0.00015969,parkbyte,1.5,18.32,29.13,,10922912.0,PKB,4764026.0,2.29279,1024290.0,45,"January 09, 2018, 06:30:09 PM",,,,,,Bittrex
particl,7838215.0,0.00223168,particl,4.43,21.91,56.19,,249856418.0,PART,8834215.0,31.8767,1341350.0,31,"January 12, 2018, 08:14:26 PM",,,,,,Bittrex
pascal-coin,16895000.0,0.00036147,pascal-coin,-0.07,17.88,28.91,,87177017.0,PASC,16895000.0,5.15993,1088090.0,395,"January 12, 2018, 10:18:34 PM",Other,POW,Cryptopia,,,
pascal-lite,4755950.0,0.00002751,pascal-lite,0.29,16.66,7.32,,1877311.0,PASL,4755950.0,0.394729,3787.21,123,"January 12, 2018, 12:16:19 PM",Other,POW,Cryptopia,,,
patientory,70000000.0,0.00004266,patientory,-3.41,18.38,6.11,,42625660.0,PTOY,100002000.0,0.608938,4305520.0,140,<b>Today</b> at 02:13:18 AM,,,,,,Bittrex
paycoin2,11839405.0,0.00000754,paycoin2,4.93,4.17,102.64,,1246014.0,XPY,11839405.0,0.105243,5577.94,0,0,,,,,,
paycon,23042604.0,0.00000149,paycon,-6.85,2.17,-28.0,,490118.0,CON,23042604.0,0.0212701,3050.57,16,"January 12, 2018, 03:06:28 PM",X13,POS,Cryptopia,,,
payfair,76070288.0,0.00001565,payfair,0.68,8.2,65.88,,17022476.0,PFR,88999687.0,0.223773,142854.0,8,<b>Today</b> at 12:23:46 AM,,,,,,
paypeer,,0.00000002,paypeer,99.77,34.44,70.52,,,PAYP,,0.000285988,566.575,14,"January 12, 2018, 12:07:28 PM",,,,,,
paypex,68380258.0,0.00006742,paypex,-0.84,-4.0,-28.04,,65813400.0,PAYX,150000000.0,0.962462,15445.6,0,0,,,,,,
paypie,82500000.0,0.00022466,paypie,1.96,12.85,65.23,165000000.0,264741675.0,PPP,165000000.0,3.20899,395602.0,227,<b>Today</b> at 02:30:45 AM,,,,,,
peacecoin,,0.00000190,peacecoin,-27.04,-20.04,48.92,,,PEC,,0.0271637,25421.2,0,0,,,,,,
peepcoin,,0.000000004,peepcoin,-2.58,21.68,16.59,,,PCN,,0.0000587356,24936.8,7,"January 11, 2018, 04:51:16 AM",,,,,,
peercoin,24573543.0,0.00058382,peercoin,2.62,23.05,46.81,,204920742.0,PPC,24573543.0,8.33908,10375200.0,115,"January 12, 2018, 10:35:33 PM",SHA256,Hybrid,Cryptopia,,,Bittrex
peerplays-ppy,3948832.0,0.00101069,peerplays-ppy,2.12,11.41,-16.61,,56971773.0,PPY,5504036.0,14.4275,5535.61,86,"January 09, 2018, 03:37:37 PM",,,,,,
peoplecoin,,0.00000001,peoplecoin,-0.16,5.64,-15.25,,,MEN,750231505.0,0.000142994,667.679,8,"December 20, 2017, 04:40:02 PM",,,,,,
pepe-cash,701884009.0,0.00000797,pepe-cash,-0.75,9.23,21.26,,79861766.0,PEPECASH,701884009.0,0.113782,1587610.0,24,"January 09, 2018, 06:28:46 AM",,,,,,
pesetacoin,132274904.0,0.00001095,pesetacoin,1.62,8.05,16.54,,20693483.0,PTC,132274904.0,0.156443,192541.0,14,"January 12, 2018, 12:57:16 PM",Scrypt,POW,Cryptopia,,,Bittrex
petrodollar,63993275.0,0.00000249,petrodollar,-0.78,-20.07,-49.61,,2290294.0,XPD,63993275.0,0.0357896,22445.9,37,"January 09, 2018, 06:47:31 PM",SHA256,POW,Cryptopia,,,
phantomx,,0.00001489,phantomx,-0.11,0.42,70.34,,,PNX,10793135.0,0.212877,13615.0,33,"January 12, 2018, 10:57:27 PM",,,,,,
philosopher-stones,6014340.0,0.00000713,philosopher-stones,-5.48,-2.07,24.82,,613282.0,PHS,6014340.0,0.10197,1839.84,27,<b>Today</b> at 12:33:17 AM,Scrypt,Hybrid,Cryptopia,,,
phoenixcoin,63355078.0,0.00000177,phoenixcoin,1.29,0.06,23.92,,1603067.0,PXC,63355078.0,0.0253029,5716.62,36,"January 12, 2018, 09:37:54 PM",NeoScrypt,POW,Cryptopia,,,
phore,8163302.0,0.00056023,phore,9.45,46.26,68.65,,65283150.0,PHR,11663302.0,7.99715,1201340.0,52,"January 12, 2018, 09:05:29 PM",POS,POS,Cryptopia,,,
photon,20987531214.0,0.00000006,photon,,,20.1,,19978157.0,PHO,20987531214.0,0.000951906,,35,<b>Today</b> at 12:57:05 AM,Blake256,POW,Cryptopia,,,
piecoin,11154146.0,0.00000115,piecoin,-0.2,-16.1,-8.16,,182906.0,PIE,11154146.0,0.016398,111.683,61,"December 14, 2017, 02:57:05 PM",POS,POS,Cryptopia,,,
piggycoin,488071602.0,0.00000044,piggycoin,-6.05,0.04,69.21,,3081186.0,PIGGY,488071602.0,0.00631298,47896.8,96,"January 12, 2018, 10:15:41 AM",X11,POS,Cryptopia,,,
pillar,227384800.0,0.00009220,pillar,5.93,20.21,100.82,,299861431.0,PLR,800000000.0,1.31874,937685.0,71,"<span class=""edited"" title=""Last edit: July 26, 2017, 05:05:24 AM by mprep"">July 26, 2017, 02:09:50 AM</span>",Scrypt,POW,Cryptopia,,,
pinkcoin,379980399.0,0.00000574,pinkcoin,-0.42,6.15,26.59,,31123663.0,PINK,390980399.0,0.0819086,786361.0,12,"January 12, 2018, 09:38:56 PM",Scrypt,POW,Cryptopia,,,Bittrex
pinkdog,,0.00000007,pinkdog,-0.11,23.25,51.27,,,PDG,,0.00100096,206.073,31,"December 23, 2017, 09:19:39 PM",,,,,,
pioneer-coin,1619335.0,0.00005128,pioneer-coin,-0.18,-0.18,1.87,23000000.0,1187086.0,PCOIN,2514768.0,0.73307,29810.7,32,<b>Today</b> at 03:08:51 AM,Scrypt,POW,Cryptopia,,,
piplcoin,83444258.0,0.00000277,piplcoin,0.94,-2.54,1.69,7531907537.0,3321015.0,PIPL,7489958537.0,0.0397992,1148.47,0,0,,,,,,
pirate-blocks,,0.00000076,pirate-blocks,8.55,-52.26,296.29,240000000.0,,SKULL,,0.0108033,66414.9,0,0,,,,,,
pirl,7696416.0,0.00019393,pirl,0.39,20.41,48.3,,21333772.0,PIRL,7696416.0,2.77191,444598.0,0,0,Dagger,POW,Cryptopia,,,
pivx,55327457.0,0.00090417,pivx,1.16,5.29,27.75,,715550007.0,PIVX,55327457.0,12.933,5086050.0,485,"January 12, 2018, 02:12:43 PM",Quark,Hybrid,Cryptopia,,,Bittrex
pizzacoin,1377917.0,0.00000018,pizzacoin,0.03,5.91,-12.4,,3545.0,PIZZA,10127917.0,0.00257253,265.571,0,0,,,,,,
platinumbar,494542.0,0.00027361,platinumbar,6.19,59.62,37.16,,1934360.0,XPTX,494542.0,3.91142,8999.8,35,"January 10, 2018, 07:05:04 AM",Scrypt,POW,Cryptopia,,,
playercoin,35120000.0,0.00000059,playercoin,5.66,127.71,40.09,,296028.0,PLACO,100120000.0,0.00842904,20492.0,54,"January 11, 2018, 08:06:07 PM",,,,,,
playkey,13521081.0,0.00025553,playkey,-1.85,-4.36,47.92,,49319362.0,PKT,19893268.0,3.64759,67412.0,131,"December 27, 2017, 07:13:05 PM",,,,,,
plexcoin,,0.00000651,plexcoin,-0.3,72.29,223.67,,,PLX,1000000000.0,0.0931965,67713.4,0,0,Other,Asset,Cryptopia,,,
plncoin,17089600.0,0.00000048,plncoin,-0.2,-7.68,93.35,38540000.0,116967.0,PLNC,19089600.0,0.00684436,82.5105,0,0,,,,,,
pluscoin,,0.00000012,pluscoin,-2.49,42.75,94.39,,,PLC,82500000000.0,0.00166857,338217.0,16,"January 11, 2018, 07:52:04 PM",SHA256,POW,Cryptopia,,,
pluton,850000.0,0.00190095,pluton,0.89,14.76,-0.01,20000000.0,23095506.0,PLU,20000000.0,27.1712,4675.95,54,"January 10, 2018, 11:53:16 AM",,,,,,
poet,2196601583.0,0.00001097,poet,1.02,8.36,-26.52,,344609446.0,POE,3141592653.0,0.156883,19939800.0,7,"January 12, 2018, 06:33:46 PM",,,,Kucoin,Binance,
pokecoin,,0.00000004,pokecoin,-0.14,21.61,29.78,,,POKE,,0.000571977,157.953,22,"January 06, 2018, 11:45:13 PM",,,,,,
polis,,0.00361,polis,0.06,48.72,,,,POLIS,476912.0,51.6554,623092.0,0,0,,,,,,
poly-ai,,0.00049902,poly-ai,-2.34,7.63,-5.78,,,AI,29000000.0,7.13187,996437.0,4,"January 06, 2018, 05:25:42 AM",,,,,,
polybius,3820954.0,0.00067686,polybius,1.49,2.35,-23.99,,36918398.0,PLBT,3969565.0,9.66209,116192.0,0,0,,,,,,
ponzicoin,861099.0,0.00000511,ponzicoin,0.53,20.39,18.99,,62910.0,PONZI,861099.0,0.0730573,14718.1,62,"July 22, 2016, 11:37:39 AM",,,,,,
popularcoin,3404035864.0,0.00000024,popularcoin,7.89,23.06,556.56,4999999999.0,11730069.0,POP,3404035864.0,0.00344593,619818.0,17,"January 12, 2018, 05:45:58 PM",Scrypt,POW,Cryptopia,,,
populous,37004027.0,0.00355605,populous,0.99,6.13,23.48,53252246.0,1882195026.0,PPT,53252246.0,50.8646,2102440.0,232,<b>Today</b> at 02:40:52 AM,,,,Kucoin,Binance,
posex,2453240.0,0.00000190,posex,-0.2,29.14,74.34,,66464.0,PEX,2453240.0,0.0270923,67.2417,61,"January 11, 2018, 09:54:08 AM",,,,,,
postcoin,15868233.0,0.00000945,postcoin,24.14,137.99,284.67,,2151510.0,POST,15868233.0,0.135586,68742.7,11,"January 02, 2018, 06:02:06 PM",POS,POS,Cryptopia,,,
postoken,900288.0,0.00014588,postoken,1.47,-11.59,14.6,,1884492.0,POS,1134153.0,2.09321,29980.9,434,<b>Today</b> at 03:09:09 AM,,,,,,
posw-coin,44100000.0,0.00005509,posw-coin,2.73,7.94,-5.64,,34680152.0,POSW,70000000.0,0.786398,374452.0,16,"January 12, 2018, 08:14:14 AM",POS,POS,Cryptopia,,,
potcoin,219156880.0,0.00002451,potcoin,1.36,12.82,-1.18,420000000.0,76684526.0,POT,219156880.0,0.349907,2092640.0,370,"January 12, 2018, 07:12:41 PM",Scrypt,POS,Cryptopia,,,Bittrex
power-ledger,360520592.0,0.00011229,power-ledger,1.45,15.26,10.92,,579064570.0,POWR,1000000000.0,1.60619,48291200.0,85,"January 12, 2018, 04:35:51 PM",None,Asset,Cryptopia,Kucoin,Binance,Bittrex
prcoin,16921800.0,0.00000044,prcoin,2.61,9.31,-27.92,,103132.0,PRC,796921800.0,0.00609462,35474.4,3,"January 09, 2018, 10:31:28 AM",,,,,,
presearch,155000000.0,0.00004567,presearch,3.03,4.51,-11.4,1000000000.0,101112700.0,PRS,170000000.0,0.65234,141706.0,0,0,,,,,,
president-johnson,,0.00000911,president-johnson,-0.11,-1.7,-1.92,,,GARY,57968072167.0,0.130268,202.288,0,0,,,,,,
president-trump,,0.00000132,president-trump,-0.04,41.61,-23.54,,,PRES,57968072167.0,0.0188654,1087.0,0,0,,,,,,
primalbase,1000.0,0.470482,primalbase,2.77,23.77,-0.56,1250.0,6747660.0,PBT,1250.0,6747.66,1126380.0,191,"January 12, 2018, 01:16:21 PM",,,,,,
primas,51200000.0,0.00003786,primas,0.6,1.99,-22.91,,27705600.0,PST,100000000.0,0.541125,493005.0,0,0,,,,,,
prime-xi,18464170.0,0.00000391,prime-xi,0.4,8.51,-1.33,,1031383.0,PXI,18464170.0,0.0558586,8807.85,52,"January 12, 2018, 03:40:11 PM",X11,POW,Cryptopia,,,
primecoin,22074456.0,0.00008410,primecoin,2.37,5.37,54.4,,26536366.0,XPM,22074456.0,1.20213,533496.0,0,0,Other,POW,Cryptopia,,,
primulon,,0.00000004,primulon,-0.07,-37.43,19.56,750000000.0,,PRIMU,,0.000571866,2290.29,0,0,,,,,,
printerium,11821728.0,0.00000100,printerium,-0.07,20.58,-6.92,,167748.0,PRX,11821728.0,0.0141898,2635.88,21,"January 06, 2018, 07:13:44 AM",,,,,,
prismchain,,0.00000021,prismchain,-0.11,30.5,13.62,,,PRM,,0.00300288,35.1337,19,"April 01, 2016, 12:17:18 PM",,,,,,
privatix,1182668.0,0.0008814,privatix,1.03,5.76,64.35,,14904098.0,PRIX,1275455.0,12.6021,70469.9,19,"January 12, 2018, 12:28:21 PM",,,,,,
prizm,13005512.0,0.00006047,prizm,2.03,9.03,-6.34,6000000000.0,11292504.0,PZM,13005512.0,0.868286,9701.09,5,"January 11, 2018, 01:03:55 PM",,,,,,
prochain,,0.00003204,prochain,-3.45,-14.35,-16.29,,,PRO,100000000.0,0.457869,1440080.0,4,<b>Today</b> at 12:16:15 AM,,,,,,
procurrency,96488614.0,0.00000829,procurrency,-4.07,40.26,398.24,,11440944.0,PROC,15003673409.0,0.118573,817254.0,93,<b>Today</b> at 02:37:27 AM,POS,POS,Cryptopia,,,
project-decorum,50000000.0,0.00001915,project-decorum,2.83,34.1,23.81,,13690100.0,PDC,50000000.0,0.273802,2469230.0,8,"January 05, 2018, 03:11:25 AM",,,,,,Bittrex
project-x,0.0,14.1,project-x,0.14,-9.26,-6.39,,15777.0,NANOX,1.0,201587.0,1430.86,24,"August 18, 2017, 11:37:52 PM",,,,,,
propy,16681759.0,0.000242,propy,1.31,6.4,-32.06,,57627638.0,PRO,100000000.0,3.45453,29101600.0,128,"January 11, 2018, 12:01:42 PM",,,,,,
prospectors-gold,64500000.0,0.00001465,prospectors-gold,0.14,38.72,62.96,220000000.0,13509525.0,PGL,220000000.0,0.20945,435.194,32,"January 12, 2018, 05:59:18 PM",,,,,,
protean,,0.00000002,protean,49.96,15.55,122.81,,,PRN,,0.000244945,90929.5,0,0,,,,,,
prototanium,196137.0,0.00072768,prototanium,2.3,24.05,242.94,,2047902.0,PR,196137.0,10.4412,4396.89,0,0,SHA256,POW,Cryptopia,,,
psilocybin,,0.00000319,psilocybin,,,30.6,,,PSY,,0.045307,,3,"June 10, 2015, 12:06:32 AM",,,,,,
publica,18582933.0,0.00017856,publica,4.12,2.73,36.66,,47365293.0,PBL,33787150.0,2.54886,879686.0,12,"January 11, 2018, 11:26:01 PM",Other,POW,Cryptopia,Kucoin,,
